"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","cautaProdus","Demo","Mon May 25 12:29:23 EEST 2026","passed","Mon May 25 12:29:24 EEST 2026","Tests.HomePageTests","Test","Tests.HomePageTests","cautaProdus"
"","3562","continueShopping","Regression Suite","Wed May 27 18:40:26 EEST 2026","passed","Wed May 27 18:40:30 EEST 2026","Tests.CartPageTests","Regression Tests","Tests.CartPageTests","continueShopping"
"","1368","adaugaInCos","Demo","Mon May 25 12:29:28 EEST 2026","passed","Mon May 25 12:29:29 EEST 2026","Tests.ProductPageTests","Test","Tests.ProductPageTests","adaugaInCos"
"","2178","adaugaLaFavorites","Demo","Mon May 25 12:29:30 EEST 2026","passed","Mon May 25 12:29:32 EEST 2026","Tests.ProductPageTests","Test","Tests.ProductPageTests","adaugaLaFavorites"
"","2448","signOut","Regression Suite","Wed May 27 18:40:21 EEST 2026","passed","Wed May 27 18:40:23 EEST 2026","Tests.LoginPageTests","Regression Tests","Tests.LoginPageTests","signOut"
"","6102","completePayment","Demo","Mon May 25 12:29:54 EEST 2026","passed","Mon May 25 12:30:00 EEST 2026","Tests.PaymentPageTests","Test","Tests.PaymentPageTests","completePayment"
"","1135","loginCuCredentialeGoale","Regression Suite","Wed May 27 18:40:16 EEST 2026","passed","Wed May 27 18:40:17 EEST 2026","Tests.LoginPageTests","Regression Tests","Tests.LoginPageTests","loginCuCredentialeGoale"
"","818","navigheazaLaMessages","Demo","Mon May 25 12:29:19 EEST 2026","passed","Mon May 25 12:29:20 EEST 2026","Tests.MyAccountPageTests","Test","Tests.MyAccountPageTests","navigheazaLaMessages"
"","201","getCategories","Demo","Mon May 25 12:30:02 EEST 2026","passed","Mon May 25 12:30:02 EEST 2026","APITests.APITests","Test","APITests.APITests","getCategories"
"","6735","proceedToCheckoutBeingLoggedIn","Regression Suite","Wed May 27 18:40:38 EEST 2026","passed","Wed May 27 18:40:45 EEST 2026","Tests.CartPageTests","Regression Tests","Tests.CartPageTests","proceedToCheckoutBeingLoggedIn"
"","1817","loginCuCampPasswordGol","Regression Suite","Wed May 27 18:40:07 EEST 2026","passed","Wed May 27 18:40:09 EEST 2026","Tests.LoginPageTests","Regression Tests","Tests.LoginPageTests","loginCuCampPasswordGol"
"","1370","accountNavigateDropdown","Demo","Mon May 25 12:29:12 EEST 2026","passed","Mon May 25 12:29:14 EEST 2026","Tests.MyAccountPageTests","Test","Tests.MyAccountPageTests","accountNavigateDropdown"
"","233","sorteazaProdusele","Demo","Mon May 25 12:29:26 EEST 2026","passed","Mon May 25 12:29:27 EEST 2026","Tests.HomePageTests","Test","Tests.HomePageTests","sorteazaProdusele"
"","1895","getAllProducts","Default Suite","Mon May 25 12:34:19 EEST 2026","passed","Mon May 25 12:34:21 EEST 2026","APITests.APITests","ProiectFinalAutomation","APITests.APITests","getAllProducts"
"","766","navigheazaLaInvoices","Demo","Mon May 25 12:29:17 EEST 2026","passed","Mon May 25 12:29:18 EEST 2026","Tests.MyAccountPageTests","Test","Tests.MyAccountPageTests","navigheazaLaInvoices"
"","5431","completeCheckoutForm","Demo","Mon May 25 12:29:47 EEST 2026","passed","Mon May 25 12:29:53 EEST 2026","Tests.CheckoutPageTests","Test","Tests.CheckoutPageTests","completeCheckoutForm"
"","3330","isProductInCart","Regression Suite","Wed May 27 18:40:32 EEST 2026","passed","Wed May 27 18:40:35 EEST 2026","Tests.CartPageTests","Regression Tests","Tests.CartPageTests","isProductInCart"
"","2185","loginInvalid","Regression Suite","Wed May 27 18:40:01 EEST 2026","passed","Wed May 27 18:40:03 EEST 2026","Tests.LoginPageTests","Regression Tests","Tests.LoginPageTests","loginInvalid"
"","962","navigheazaLaProfile","Demo","Mon May 25 12:29:21 EEST 2026","passed","Mon May 25 12:29:22 EEST 2026","Tests.MyAccountPageTests","Test","Tests.MyAccountPageTests","navigheazaLaProfile"
"","455","filtreazaProdusele","Demo","Mon May 25 12:29:25 EEST 2026","passed","Mon May 25 12:29:25 EEST 2026","Tests.HomePageTests","Test","Tests.HomePageTests","filtreazaProdusele"
"","873","navigheazaLaFavorites","Demo","Mon May 25 12:29:15 EEST 2026","passed","Mon May 25 12:29:16 EEST 2026","Tests.MyAccountPageTests","Test","Tests.MyAccountPageTests","navigheazaLaFavorites"
"","2782","loginValid","Regression Suite","Wed May 27 18:39:56 EEST 2026","passed","Wed May 27 18:39:58 EEST 2026","Tests.LoginPageTests","Regression Tests","Tests.LoginPageTests","loginValid"
"","1255","loginCuCampEmailGol","Regression Suite","Wed May 27 18:40:12 EEST 2026","passed","Wed May 27 18:40:13 EEST 2026","Tests.LoginPageTests","Regression Tests","Tests.LoginPageTests","loginCuCampEmailGol"
"","3802","proceedToCheckoutWithoutBeingLoggedIn","Regression Suite","Wed May 27 18:40:48 EEST 2026","passed","Wed May 27 18:40:52 EEST 2026","Tests.CartPageTests","Regression Tests","Tests.CartPageTests","proceedToCheckoutWithoutBeingLoggedIn"
